grade_id,usa_boulders,fra_boulders
86,V17,9A
85,V17,9A
84,V17,9A
83,V17,9A
82,V17,9A
81,V17,9A
80,V17,9A
79,V17,9A
78,V17,9A
77,V17,9A
76,V17,9A
75,V17,9A
73,V16/V17,8C+/9A
72,V16,8C+
71,V15/V16,8C/+
70,V15,8C
69,V14/V15,8B+/8C
68,V14,8B+
67,V13/V14,8B/+
66,V13,8B
65,V12/V13,8A+/8B
64,V12,8A+
63,V11/V12,8A/+
62,V11,8A
60,V10/V11,7C+/8A
59,V10,7C+
58,V9/V10,7C/+
57,V9,7C
56,V8/V9,7B+/7C
55,V8/V9,7B+
54,V8/V9,7B/+
53,V8,7B
52,V7/V8,7A+/7B
51,V7,7A+
50,V6/V7,7A/+
49,V6,7A
47,V5/V6,6C+/7A
46,V5/V6,6C+
45,V5,6C/+
44,V5,6C
43,V4/V5,6B+/6C
42,V4/V5,6B+
41,V4/V5,6B/+
40,V4,6B
39,V3/V4,6A+/6B
38,V3/V4,6A+
37,V3/V4,6A/+
36,V3,6A
35,V2/V3,6
34,V2,5C+
33,V2,5C
32,V1,5B+
31,V1,5B
30,V1,5A+
29,V1,5A
28,V0/V1,5
27,V0/V1,4+
26,V0/V1,4C+
25,V0,4C
24,V0,4B+
23,V0,4B
22,V0,4A+
21,V0,4A
20,V0,4
19,V0,3+
18,V0,3C+
17,V0,3C
16,VB/V0,3B+
15,VB,3B
14,VB,3A+
13,VB,3A
12,VB,3
11,VB,3
10,VB,3
9,VB,3
8,VB,3
7,VB,3
6,VB,3
5,VB,3
4,VB,3
3,VB,3
2,VB,3
1,VB,3
